HDFS,база данных,роль,группа,Вид учетной записи,учетная запись,YARN
/data/custom/rb/frod_monitoring/pa,custom_rb_frod_monitoring,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/frod_monitoring/pa,custom_rb_frod_monitoring,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/frod_monitoring/pa,custom_rb_frod_monitoring,r_dc_custom_rb_frod_monitoring_ro,g_dc_d_custom_rb_frod_monitoring_ro,Пользователь,,
/data/custom/rb/frod_monitoring/stg,custom_rb_frod_monitoring_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/frod_monitoring/stg,custom_rb_frod_monitoring_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/hr/pa,custom_rb_hr,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/hr/pa,custom_rb_hr,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/hr/pa,custom_rb_hr,r_dc_custom_rb_hr_ro,g_dc_d_custom_rb_hr_ro,Пользователь,,
/data/custom/rb/hr/stg,custom_rb_hr_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/hr/stg,custom_rb_hr_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/kalita/pa,custom_rb_kalita,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/kalita/pa,custom_rb_kalita,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/kalita/pa,custom_rb_kalita,r_dc_custom_rb_kalita_ro,g_dc_d_custom_rb_kalita_ro,Пользователь,,
/data/custom/rb/kalita/stg,custom_rb_kalita_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/kalita/stg,custom_rb_kalita_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/kbrb/pa,custom_rb_kbrb,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/kbrb/pa,custom_rb_kbrb,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/kbrb/pa,custom_rb_kbrb,r_dc_custom_rb_kbrb_ro,g_dc_d_custom_rb_kbrb_ro,Пользователь,,
/data/custom/rb/kbrb/stg,custom_rb_kbrb_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/kbrb/stg,custom_rb_kbrb_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/loan/pa,custom_rb_loan,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/loan/pa,custom_rb_loan,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/loan/pa,custom_rb_loan,r_dc_custom_rb_loan_ro,g_dc_d_custom_rb_loan_ro,Пользователь,,
/data/custom/rb/loan/stg,custom_rb_loan_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/loan/stg,custom_rb_loan_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/mdm/pa,custom_rb_mdm,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/mdm/pa,custom_rb_mdm,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/mdm/pa,custom_rb_mdm,r_dc_custom_rb_mdm_ro,g_dc_d_custom_rb_mdm_ro,Пользователь,,
/data/custom/rb/mdm/stg,custom_rb_mdm_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/mdm/stg,custom_rb_mdm_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/merch/pa,custom_rb_merch,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/merch/pa,custom_rb_merch,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/merch/pa,custom_rb_merch,r_dc_custom_rb_merch_ro,g_dc_d_custom_rb_merch_ro,Пользователь,,
/data/custom/rb/merch/stg,custom_rb_merch_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/merch/stg,custom_rb_merch_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/motivation/pa,custom_rb_motivation,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/motivation/pa,custom_rb_motivation,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/motivation/pa,custom_rb_motivation,r_dc_custom_rb_motivation_ro,g_dc_d_custom_rb_motivation_ro,Пользователь,,
/data/custom/rb/motivation/stg,custom_rb_motivation_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/motivation/stg,custom_rb_motivation_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/saving_certificate/pa,custom_rb_saving_certificate,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/saving_certificate/pa,custom_rb_saving_certificate,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/saving_certificate/pa,custom_rb_saving_certificate,r_dc_custom_rb_saving_certificate_ro,g_dc_d_custom_rb_saving_certificate_ro,Пользователь,,
/data/custom/rb/saving_certificate/stg,custom_rb_saving_certificate_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/saving_certificate/stg,custom_rb_saving_certificate_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/sb/pa,custom_rb_sb,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/sb/pa,custom_rb_sb,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/sb/pa,custom_rb_sb,r_dc_custom_rb_sb_ro,g_dc_d_custom_rb_sb_ro,Пользователь,,
/data/custom/rb/sb/stg,custom_rb_sb_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/sb/stg,custom_rb_sb_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/sbol/pa,custom_rb_sbol,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/sbol/pa,custom_rb_sbol,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/sbol/pa,custom_rb_sbol,r_dc_custom_rb_sbol_ro,g_dc_d_custom_rb_sbol_ro,Пользователь,,
/data/custom/rb/sbol/stg,custom_rb_sbol_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/sbol/stg,custom_rb_sbol_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/scoring_platform/pa,custom_rb_scoring_platform,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/scoring_platform/pa,custom_rb_scoring_platform,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/scoring_platform/pa,custom_rb_scoring_platform,r_dc_custom_rb_scoring_platform_ro,g_dc_d_custom_rb_scoring_platform_ro,Пользователь,,
/data/custom/rb/scoring_platform/stg,custom_rb_scoring_platform_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/scoring_platform/stg,custom_rb_scoring_platform_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/skoring/pa,custom_rb_skoring,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/skoring/pa,custom_rb_skoring,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/skoring/pa,custom_rb_skoring,r_dc_custom_rb_skoring_ro,g_dc_d_custom_rb_skoring_ro,Пользователь,,
/data/custom/rb/skoring/stg,custom_rb_skoring_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/skoring/stg,custom_rb_skoring_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/smartvista/pa,custom_rb_smartvista,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
